label,subject,message
spam,Congratulations you won a prize,"Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. If you are not interested, you can ignore this message."
spam,Free voucher available,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
ham,Your appointment confirmation,I have attached the project update and the next steps we discussed. Please review it when you have time.
ham,Meeting schedule for tomorrow,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Congratulations your entry won - Act Now,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Library book reminder,We are planning a family dinner this weekend. Let me know which day works best for everyone.
ham,Follow up on our discussion - Update,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
ham,Invoice for this month,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks.
ham,Notes from today's meeting - Update,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Please let me know if you need any further information. Please review the attached information when convenient.
ham,Library book reminder,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Let me know if you have any questions.
spam,You are our lucky winner - Act Now,Your reward is ready. Verify your account and claim the special offer before the deadline.
spam,Special promotion ends today,Get a free voucher today. This offer is available for a limited time only. Click to claim.
ham,Library book reminder,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
spam,Act now to receive your bonus,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
ham,Class timetable update,I have attached the project update and the next steps we discussed. Please review it when you have time. Please let me know if you need any further information.
ham,Monthly report attached,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks.
ham,Weekend family plans,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks. Please confirm once you have received this information.
spam,Win money today - Act Now,Get a free voucher today. This offer is available for a limited time only. Click to claim.
spam,Final notice for your reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. Please confirm the information provided.
ham,Travel itinerary details,I have attached the project update and the next steps we discussed. Please review it when you have time. Please confirm once you have received this information.
spam,Win money today,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately. Please review the details when you have time.
ham,Your order has shipped,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes. Please let me know if you need any further information."
ham,Notes from today's meeting,I have attached the project update and the next steps we discussed. Please review it when you have time. Please let me know if you need any further information. Please review the attached information when convenient.
spam,Exclusive offer just for you,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
spam,Claim your complimentary gift,You have been chosen for a cash promotion. Claim your money now by confirming your information. Please review the details when you have time.
spam,Claim your complimentary gift,Final notice: your prize will be cancelled unless you respond immediately and complete the verification. The offer is subject to the terms shown on the website.
spam,Your reward is waiting,Congratulations on your selection. Provide the requested details to unlock your free reward. Offer expires today. The offer is subject to the terms shown on the website.
ham,Bank statement available,Please find the invoice for this month attached. Let me know if you have any questions about the amount. This is a routine notification from our system.
ham,Course assignment reminder,Are you free for lunch on Friday? We can meet near the office around one o'clock. Please let me know if you need any further information.
spam,Exclusive cash offer,Your reward is ready. Verify your account and claim the special offer before the deadline. Please review the details when you have time.
ham,Monthly report attached - Update,We are planning a family dinner this weekend. Let me know which day works best for everyone. Please review the attached information when convenient.
spam,Your reward is waiting,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires. Offer expires today.
spam,Your reward is waiting,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. The offer is subject to the terms shown on the website.
ham,Monthly report attached,The assignment is due next Monday. Please check the course portal for the submission instructions. You can ignore this message if it is no longer relevant.
ham,Bank statement available,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect.
spam,Library book reminder,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks.
ham,Course assignment reminder,We are planning a family dinner this weekend. Let me know which day works best for everyone. Please let me know if you need any further information.
ham,Project update and next steps,Here are the notes from today's meeting. I have included the action items we agreed to.
ham,Course assignment reminder,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,Exclusive cash offer,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Your reward is waiting,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
spam,Win money today,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
ham,Office maintenance notice,Please find the invoice for this month attached. Let me know if you have any questions about the amount.
spam,Earn extra cash from home,Congratulations on your selection. Provide the requested details to unlock your free reward. Offer expires today. Please review the details when you have time.
spam,Final notice for your reward,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. Offer expires today.
spam,Special promotion ends today - Act Now,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Bank statement available,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
ham,Monthly report attached,Here are the notes from today's meeting. I have included the action items we agreed to. This is a routine notification from our system.
spam,Congratulations your entry won,Congratulations on your selection. Provide the requested details to unlock your free reward.
ham,Notes from today's meeting,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,Free voucher available,You have been chosen for a cash promotion. Claim your money now by confirming your information.
ham,Grocery list for tonight - Update,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect.
spam,Get your free gift now,"Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires. If you are not interested, you can ignore this message."
spam,Exclusive cash offer,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
ham,Travel itinerary details,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Exclusive offer just for you,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately. Please review the details when you have time.
spam,Urgent account verification required,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. Please review the details when you have time.
ham,Monthly report attached,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Congratulations you won a prize,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
spam,Your reward is waiting,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation.
spam,Congratulations your entry won,"Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. If you are not interested, you can ignore this message."
spam,You are our lucky winner,"Final notice: your prize will be cancelled unless you respond immediately and complete the verification. If you are not interested, you can ignore this message."
ham,Your order has shipped,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
ham,Weekend family plans,I have attached the project update and the next steps we discussed. Please review it when you have time. Let me know if you have any questions.
spam,Final notice for your reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Congratulations you won a prize,"Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. If you are not interested, you can ignore this message."
spam,Notes from today's meeting,Here are the notes from today's meeting. I have included the action items we agreed to.
spam,Claim your free reward,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. The offer is subject to the terms shown on the website.
ham,Your appointment confirmation,Please find the invoice for this month attached. Let me know if you have any questions about the amount. Please let me know if you need any further information.
ham,Weekend family plans,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Limited time bonus offer,Final notice: your prize will be cancelled unless you respond immediately and complete the verification. Offer expires today.
ham,Library book reminder,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect. Please let me know if you need any further information.
spam,Earn extra cash from home - Act Now,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. The offer is subject to the terms shown on the website.
spam,Claim your free reward,Congratulations on your selection. Provide the requested details to unlock your free reward. Offer expires today. Please review the details when you have time.
spam,Special promotion ends today - Act Now,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires. Offer expires today.
ham,Weekend family plans,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,Special promotion ends today,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Bank statement available,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect. Please confirm once you have received this information.
spam,Instant money opportunity,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. Please review the details when you have time.
spam,Get your free gift now,Your reward is ready. Verify your account and claim the special offer before the deadline.
spam,Claim your free reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. Please review the details when you have time.
ham,Follow up on our discussion,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
ham,Monthly report attached,Here are the notes from today's meeting. I have included the action items we agreed to. Please let me know if you need any further information.
ham,Office maintenance notice,We are planning a family dinner this weekend. Let me know which day works best for everyone. This is a routine notification from our system.
spam,Earn extra cash from home,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires. Offer expires today.
ham,Lunch plans for Friday,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Get your free gift now,Congratulations on your selection. Provide the requested details to unlock your free reward. The offer is subject to the terms shown on the website.
ham,Free voucher available,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. The offer is subject to the terms shown on the website.
spam,Final notice for your reward,Your reward is ready. Verify your account and claim the special offer before the deadline. The offer is subject to the terms shown on the website.
ham,Your order has shipped - Update,I have attached the project update and the next steps we discussed. Please review it when you have time.
ham,Grocery list for tonight,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Special promotion ends today,"Your reward is ready. Verify your account and claim the special offer before the deadline. If you are not interested, you can ignore this message."
spam,You have been selected for a cash reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Your reward is waiting,Congratulations on your selection. Provide the requested details to unlock your free reward.
spam,Grocery list for tonight,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Let me know if you have any questions.
ham,Your appointment confirmation,Are you free for lunch on Friday? We can meet near the office around one o'clock. Please review the attached information when convenient.
ham,Your appointment confirmation,Here are the notes from today's meeting. I have included the action items we agreed to. Please review the attached information when convenient.
ham,Lunch plans for Friday,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Your reward is waiting,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Your appointment confirmation,I have attached the project update and the next steps we discussed. Please review it when you have time. Let me know if you have any questions.
spam,Claim your free reward,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. Please confirm the information provided.
ham,Team standup at 10 AM,I have attached the project update and the next steps we discussed. Please review it when you have time.
ham,Course assignment reminder,Please find the invoice for this month attached. Let me know if you have any questions about the amount. You can ignore this message if it is no longer relevant.
spam,Instant money opportunity,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation.
ham,Your appointment confirmation,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect.
ham,Project update and next steps,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks.
spam,Congratulations your entry won - Act Now,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Grocery list for tonight,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect.
ham,Class timetable update,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Claim your complimentary gift,Get a free voucher today. This offer is available for a limited time only. Click to claim.
spam,Final notice for your reward,You have been chosen for a cash promotion. Claim your money now by confirming your information.
ham,Notes from today's meeting,Here are the notes from today's meeting. I have included the action items we agreed to. Please review the attached information when convenient.
spam,Earn extra cash from home,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Doctor appointment reminder,Are you free for lunch on Friday? We can meet near the office around one o'clock.
ham,Grocery list for tonight,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
spam,Urgent account verification required,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. Please review the details when you have time.
ham,Office maintenance notice,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect.
ham,Thank you for your message,We are planning a family dinner this weekend. Let me know which day works best for everyone.
ham,Weekend family plans,The assignment is due next Monday. Please check the course portal for the submission instructions. Please review the attached information when convenient.
spam,Claim your free reward,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Travel itinerary details,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Final notice for your reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,You are our lucky winner - Act Now,Congratulations on your selection. Provide the requested details to unlock your free reward. Offer expires today.
spam,You have been selected for a cash reward,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Meeting schedule for tomorrow,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Let me know if you have any questions.
spam,Claim your complimentary gift,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
spam,Special promotion ends today - Act Now,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. Please confirm the information provided.
ham,Your appointment confirmation,Please find the invoice for this month attached. Let me know if you have any questions about the amount. Please confirm once you have received this information.
spam,Urgent account verification required,Your reward is ready. Verify your account and claim the special offer before the deadline.
ham,Exclusive cash offer,Your reward is ready. Verify your account and claim the special offer before the deadline. Offer expires today. This message was sent automatically.
ham,Travel itinerary details,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Claim your free reward - Act Now,Your reward is ready. Verify your account and claim the special offer before the deadline.
ham,Claim your free reward,"Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires. If you are not interested, you can ignore this message."
spam,Claim your complimentary gift,Congratulations on your selection. Provide the requested details to unlock your free reward.
ham,Project update and next steps,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,Congratulations you won a prize,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. This message was sent automatically.
ham,Monthly report attached,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect. This is a routine notification from our system.
spam,Special promotion ends today,Congratulations on your selection. Provide the requested details to unlock your free reward. Offer expires today. Please confirm the information provided.
ham,Notes from today's meeting - Update,I have attached the project update and the next steps we discussed. Please review it when you have time.
ham,Notes from today's meeting - Update,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks.
ham,Office maintenance notice,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Get your free gift now,You have been chosen for a cash promotion. Claim your money now by confirming your information. Offer expires today.
spam,Congratulations your entry won,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Win money today,You have been chosen for a cash promotion. Claim your money now by confirming your information. Please confirm the information provided.
spam,Congratulations your entry won - Act Now,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Notes from today's meeting,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks. Please review the attached information when convenient.
spam,You have been selected for a cash reward,Your reward is ready. Verify your account and claim the special offer before the deadline.
spam,Act now to receive your bonus,You have been chosen for a cash promotion. Claim your money now by confirming your information.
ham,Congratulations your entry won,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
ham,Office maintenance notice,Here are the notes from today's meeting. I have included the action items we agreed to. Let me know if you have any questions.
ham,Your order has shipped,We are planning a family dinner this weekend. Let me know which day works best for everyone.
ham,Office maintenance notice,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
ham,Monthly report attached,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Win money today,You have been chosen for a cash promotion. Claim your money now by confirming your information. Please confirm the information provided.
spam,Important: claim your prize,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation.
ham,Doctor appointment reminder,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Earn extra cash from home - Act Now,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation.
ham,Monthly report attached - Update,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
ham,Your appointment confirmation,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,Earn extra cash from home,"Get a free voucher today. This offer is available for a limited time only. Click to claim. Offer expires today. If you are not interested, you can ignore this message."
ham,Bank statement available,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Claim your free reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. The offer is subject to the terms shown on the website.
spam,Lunch plans for Friday,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Important: claim your prize,Congratulations on your selection. Provide the requested details to unlock your free reward.
ham,Meeting schedule for tomorrow,Please find the invoice for this month attached. Let me know if you have any questions about the amount.
spam,Congratulations you won a prize - Act Now,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Free voucher available,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
spam,You are our lucky winner,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. Offer expires today.
ham,Act now to receive your bonus,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
spam,Act now to receive your bonus,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Bank statement available,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect. Please review the attached information when convenient.
ham,Project update and next steps,Here are the notes from today's meeting. I have included the action items we agreed to.
spam,Important: claim your prize,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately. Please review the details when you have time.
spam,Claim your free reward - Act Now,Congratulations on your selection. Provide the requested details to unlock your free reward.
ham,Class timetable update,We are planning a family dinner this weekend. Let me know which day works best for everyone. You can ignore this message if it is no longer relevant.
ham,Team standup at 10 AM,I have attached the project update and the next steps we discussed. Please review it when you have time. Please let me know if you need any further information.
ham,Doctor appointment reminder,Here are the notes from today's meeting. I have included the action items we agreed to. Please let me know if you need any further information.
spam,Claim your free reward - Act Now,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires.
spam,Important: claim your prize,Final notice: your prize will be cancelled unless you respond immediately and complete the verification. The offer is subject to the terms shown on the website.
ham,Grocery list for tonight - Update,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early.
spam,Earn extra cash from home,Your reward is ready. Verify your account and claim the special offer before the deadline. Please review the details when you have time.
spam,You are our lucky winner,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately. Offer expires today. Please confirm the information provided.
ham,Urgent account verification required,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires.
spam,Get your free gift now,You have been chosen for a cash promotion. Claim your money now by confirming your information.
ham,Your appointment confirmation,Are you free for lunch on Friday? We can meet near the office around one o'clock. Please review the attached information when convenient.
ham,Doctor appointment reminder,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes. Please confirm once you have received this information."
ham,Travel itinerary details,Are you free for lunch on Friday? We can meet near the office around one o'clock. Please let me know if you need any further information.
spam,Your reward is waiting,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. Please confirm the information provided.
spam,Important: claim your prize,Congratulations on your selection. Provide the requested details to unlock your free reward.
spam,Exclusive offer just for you,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Your order has shipped,The assignment is due next Monday. Please check the course portal for the submission instructions. Let me know if you have any questions.
spam,Urgent account verification required,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Team standup at 10 AM,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Instant money opportunity,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
ham,Follow up on our discussion - Update,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,You have been selected for a cash reward,Get a free voucher today. This offer is available for a limited time only. Click to claim.
ham,Important: claim your prize,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
ham,Thank you for your message,Here are the notes from today's meeting. I have included the action items we agreed to. Please let me know if you need any further information. Let me know if you have any questions.
ham,Exclusive offer just for you,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
spam,Earn extra cash from home,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. Offer expires today. Please confirm the information provided.
ham,Course assignment reminder,Please find the invoice for this month attached. Let me know if you have any questions about the amount.
spam,Free voucher available,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Invoice for this month - Update,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,You are our lucky winner,Congratulations on your selection. Provide the requested details to unlock your free reward. Please confirm the information provided.
spam,Win money today,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires. Offer expires today.
ham,Follow up on our discussion,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes. Please let me know if you need any further information."
spam,Claim your free reward,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. Offer expires today.
ham,Thank you for your message,We are planning a family dinner this weekend. Let me know which day works best for everyone. Please let me know if you need any further information.
spam,Final notice for your reward,Your reward is ready. Verify your account and claim the special offer before the deadline.
ham,Travel itinerary details,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Please let me know if you need any further information.
spam,Exclusive cash offer,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Lunch plans for Friday,Here are the notes from today's meeting. I have included the action items we agreed to.
ham,Travel itinerary details,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Final notice for your reward,You have been chosen for a cash promotion. Claim your money now by confirming your information.
spam,You have been selected for a cash reward,You have been chosen for a cash promotion. Claim your money now by confirming your information. This message was sent automatically.
spam,Claim your free reward,Congratulations on your selection. Provide the requested details to unlock your free reward.
spam,Congratulations your entry won,Congratulations on your selection. Provide the requested details to unlock your free reward.
spam,Travel itinerary details,Are you free for lunch on Friday? We can meet near the office around one o'clock.
ham,Lunch plans for Friday,The assignment is due next Monday. Please check the course portal for the submission instructions. Please let me know if you need any further information. Please review the attached information when convenient.
ham,Meeting schedule for tomorrow,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks. Let me know if you have any questions.
spam,Meeting schedule for tomorrow,I have attached the travel itinerary. Please check the departure time and let me know if you notice anything incorrect. Please let me know if you need any further information. You can ignore this message if it is no longer relevant.
ham,Monthly report attached,Please find the invoice for this month attached. Let me know if you have any questions about the amount.
ham,Monthly report attached,We are planning a family dinner this weekend. Let me know which day works best for everyone. Please let me know if you need any further information.
